지점,지점명,일시,기온(°C),강수량(mm),습도(%),적설(cm)
98,동두천,2019-01-01 00:00,-9.6,,45,
98,동두천,2019-01-01 01:00,-10.5,,51,
98,동두천,2019-01-01 02:00,-10.8,,54,
98,동두천,2019-01-01 03:00,-11,,55,
98,동두천,2019-01-01 04:00,-11.6,,57,
98,동두천,2019-01-01 05:00,-11.6,,59,
98,동두천,2019-01-01 06:00,-11.7,,61,
98,동두천,2019-01-01 07:00,-12.3,,65,
98,동두천,2019-01-01 08:00,-12.9,,68,
98,동두천,2019-01-01 09:00,-11.3,,64,
98,동두천,2019-01-01 10:00,-8.2,,55,
98,동두천,2019-01-01 11:00,-4.8,,44,
98,동두천,2019-01-01 12:00,-2.9,,36,
98,동두천,2019-01-01 13:00,-1.2,,33,
98,동두천,2019-01-01 14:00,-.4,,30,
98,동두천,2019-01-01 15:00,-1.2,,36,
98,동두천,2019-01-01 16:00,-1.1,,37,
98,동두천,2019-01-01 17:00,-2.2,,41,
98,동두천,2019-01-01 18:00,-3.5,,44,
98,동두천,2019-01-01 19:00,-4.1,,35,
98,동두천,2019-01-01 20:00,-5,,33,
98,동두천,2019-01-01 21:00,-6,,39,
98,동두천,2019-01-01 22:00,-6.8,,43,
98,동두천,2019-01-01 23:00,-6.7,,40,
98,동두천,2019-01-02 00:00,-8.6,,50,
98,동두천,2019-01-02 01:00,-9.4,,53,
98,동두천,2019-01-02 02:00,-9.6,,55,
98,동두천,2019-01-02 03:00,-10.5,,60,
98,동두천,2019-01-02 04:00,-11.1,,61,
98,동두천,2019-01-02 05:00,-12,,64,
98,동두천,2019-01-02 06:00,-12.3,,65,
98,동두천,2019-01-02 07:00,-12.6,,69,
98,동두천,2019-01-02 08:00,-13,,71,
98,동두천,2019-01-02 09:00,-11.2,,64,
98,동두천,2019-01-02 10:00,-8,,53,
98,동두천,2019-01-02 11:00,-4.1,,41,
98,동두천,2019-01-02 12:00,-2.2,,31,
98,동두천,2019-01-02 13:00,-.2,,24,
98,동두천,2019-01-02 14:00,-.5,,20,
98,동두천,2019-01-02 15:00,1,,19,
98,동두천,2019-01-02 16:00,.4,,21,
98,동두천,2019-01-02 17:00,-1.5,,24,
98,동두천,2019-01-02 18:00,-3.1,,30,
98,동두천,2019-01-02 19:00,-3.8,,34,
98,동두천,2019-01-02 20:00,-5.5,,40,
98,동두천,2019-01-02 21:00,-6.5,,44,
98,동두천,2019-01-02 22:00,-7.6,,48,
98,동두천,2019-01-02 23:00,-8,,51,
98,동두천,2019-01-03 00:00,-9,,56,
98,동두천,2019-01-03 01:00,-9.2,,57,
98,동두천,2019-01-03 02:00,-10.3,,59,
98,동두천,2019-01-03 03:00,-10.8,,63,
98,동두천,2019-01-03 04:00,-11.2,,64,
98,동두천,2019-01-03 05:00,-11.5,,68,
98,동두천,2019-01-03 06:00,-11.9,,68,
98,동두천,2019-01-03 07:00,-11.8,,71,
98,동두천,2019-01-03 08:00,-12.5,,74,
98,동두천,2019-01-03 09:00,-10,,66,
98,동두천,2019-01-03 10:00,-7.7,,55,
98,동두천,2019-01-03 11:00,-3.6,,40,
98,동두천,2019-01-03 12:00,.2,,25,
98,동두천,2019-01-03 13:00,.5,,22,
98,동두천,2019-01-03 14:00,2.1,,18,
98,동두천,2019-01-03 15:00,2.8,,17,
98,동두천,2019-01-03 16:00,2,,15,
98,동두천,2019-01-03 17:00,1,,16,
98,동두천,2019-01-03 18:00,-1.7,,24,
98,동두천,2019-01-03 19:00,-2.8,,27,
98,동두천,2019-01-03 20:00,-3.7,,31,
98,동두천,2019-01-03 21:00,-4.5,,32,
98,동두천,2019-01-03 22:00,-5.4,,37,
98,동두천,2019-01-03 23:00,-6.5,,41,
98,동두천,2019-01-04 00:00,-6.5,,39,
98,동두천,2019-01-04 01:00,-7.5,,44,
98,동두천,2019-01-04 02:00,-7.9,,52,
98,동두천,2019-01-04 03:00,-8.3,,52,
98,동두천,2019-01-04 04:00,-9.1,,56,
98,동두천,2019-01-04 05:00,-9.7,,60,
98,동두천,2019-01-04 06:00,-9.4,,60,
98,동두천,2019-01-04 07:00,-10.3,,65,
98,동두천,2019-01-04 08:00,-10.2,,64,
98,동두천,2019-01-04 09:00,-8.3,,61,
98,동두천,2019-01-04 10:00,-5.6,,56,
98,동두천,2019-01-04 11:00,-2,,40,
98,동두천,2019-01-04 12:00,2.1,,32,
98,동두천,2019-01-04 13:00,3.8,,26,
98,동두천,2019-01-04 14:00,3.4,,32,
98,동두천,2019-01-04 15:00,3.4,,37,
98,동두천,2019-01-04 16:00,2.8,,43,
98,동두천,2019-01-04 17:00,2,,47,
98,동두천,2019-01-04 18:00,1.2,,56,
98,동두천,2019-01-04 19:00,.2,,60,
98,동두천,2019-01-04 20:00,-.5,,68,
98,동두천,2019-01-04 21:00,-.9,,72,
98,동두천,2019-01-04 22:00,-1.1,,76,
98,동두천,2019-01-04 23:00,-1.5,,78,
98,동두천,2019-01-05 00:00,-1.4,,82,
98,동두천,2019-01-05 01:00,-2.7,,83,
98,동두천,2019-01-05 02:00,-2.2,,75,
98,동두천,2019-01-05 03:00,-3,,67,
98,동두천,2019-01-05 04:00,-3.2,,50,
98,동두천,2019-01-05 05:00,-3.7,,42,
98,동두천,2019-01-05 06:00,-4.5,,41,
98,동두천,2019-01-05 07:00,-6.6,,55,
98,동두천,2019-01-05 08:00,-7.4,,61,
98,동두천,2019-01-05 09:00,-6.5,,58,
98,동두천,2019-01-05 10:00,-3.4,,43,
98,동두천,2019-01-05 11:00,-1.7,,32,
98,동두천,2019-01-05 12:00,-1,,25,
98,동두천,2019-01-05 13:00,.3,,21,
98,동두천,2019-01-05 14:00,1.7,,18,
98,동두천,2019-01-05 15:00,2.5,,17,
98,동두천,2019-01-05 16:00,1.3,,18,
98,동두천,2019-01-05 17:00,-.4,,19,
98,동두천,2019-01-05 18:00,-2.2,,23,
98,동두천,2019-01-05 19:00,-3,,27,
98,동두천,2019-01-05 20:00,-4.7,,30,
98,동두천,2019-01-05 21:00,-4.8,,29,
98,동두천,2019-01-05 22:00,-4.7,,28,
98,동두천,2019-01-05 23:00,-5.6,,30,
98,동두천,2019-01-06 00:00,-7.5,,38,
98,동두천,2019-01-06 01:00,-8,,40,
98,동두천,2019-01-06 02:00,-8.4,,42,
98,동두천,2019-01-06 03:00,-8.4,,43,
98,동두천,2019-01-06 04:00,-8.4,,45,
98,동두천,2019-01-06 05:00,-8,,44,
98,동두천,2019-01-06 06:00,-7.9,,42,
98,동두천,2019-01-06 07:00,-8.2,,49,
98,동두천,2019-01-06 08:00,-8.8,,54,
98,동두천,2019-01-06 09:00,-8.2,,53,
98,동두천,2019-01-06 10:00,-6.2,,44,
98,동두천,2019-01-06 11:00,-2.8,,31,
98,동두천,2019-01-06 12:00,-1.1,,25,
98,동두천,2019-01-06 13:00,1.1,,22,
98,동두천,2019-01-06 14:00,2.5,,20,
98,동두천,2019-01-06 15:00,3.6,,17,
98,동두천,2019-01-06 16:00,2.8,,16,
98,동두천,2019-01-06 17:00,.8,,19,
98,동두천,2019-01-06 18:00,-1.4,,24,
98,동두천,2019-01-06 19:00,-2.5,,27,
98,동두천,2019-01-06 20:00,-3.5,,30,
98,동두천,2019-01-06 21:00,-4.8,,35,
98,동두천,2019-01-06 22:00,-5.5,,39,
98,동두천,2019-01-06 23:00,-6.2,,43,
98,동두천,2019-01-07 00:00,-6.8,,45,
98,동두천,2019-01-07 01:00,-7.5,,48,
98,동두천,2019-01-07 02:00,-8.1,,53,
98,동두천,2019-01-07 03:00,-8.8,,55,
98,동두천,2019-01-07 04:00,-9.3,,56,
98,동두천,2019-01-07 05:00,-9.3,,58,
98,동두천,2019-01-07 06:00,-10.1,,62,
98,동두천,2019-01-07 07:00,-10,,64,
98,동두천,2019-01-07 08:00,-10.3,,66,
98,동두천,2019-01-07 09:00,-9,,63,
98,동두천,2019-01-07 10:00,-5.4,,53,
98,동두천,2019-01-07 11:00,-2.4,,42,
98,동두천,2019-01-07 12:00,.6,,28,
98,동두천,2019-01-07 13:00,2.2,,24,
98,동두천,2019-01-07 14:00,3.5,,21,
98,동두천,2019-01-07 15:00,2,,25,
98,동두천,2019-01-07 16:00,1.2,,29,
98,동두천,2019-01-07 17:00,.7,,31,
98,동두천,2019-01-07 18:00,.2,,33,
98,동두천,2019-01-07 19:00,-1.1,,38,
98,동두천,2019-01-07 20:00,-2.1,,42,
98,동두천,2019-01-07 21:00,-1.9,,42,
98,동두천,2019-01-07 22:00,-2.8,,45,
98,동두천,2019-01-07 23:00,-3.5,,49,
98,동두천,2019-01-08 00:00,-4,,49,
98,동두천,2019-01-08 01:00,-5.1,,54,
98,동두천,2019-01-08 02:00,-5,,48,
98,동두천,2019-01-08 03:00,-4.6,,36,
98,동두천,2019-01-08 04:00,-5.8,,46,
98,동두천,2019-01-08 05:00,-6.6,,45,
98,동두천,2019-01-08 06:00,-7.4,,52,
98,동두천,2019-01-08 07:00,-9,,60,
98,동두천,2019-01-08 08:00,-8.8,,58,
98,동두천,2019-01-08 09:00,-7.5,,51,
98,동두천,2019-01-08 10:00,-3.9,,42,
98,동두천,2019-01-08 11:00,-1.8,,30,
98,동두천,2019-01-08 12:00,.2,,23,
98,동두천,2019-01-08 13:00,.8,,21,
98,동두천,2019-01-08 14:00,1.1,,16,
98,동두천,2019-01-08 15:00,.8,,17,
98,동두천,2019-01-08 16:00,.7,,17,
98,동두천,2019-01-08 17:00,-1.3,,18,
98,동두천,2019-01-08 18:00,-3.1,,20,
98,동두천,2019-01-08 19:00,-4.6,,21,
98,동두천,2019-01-08 20:00,-6,,29,
98,동두천,2019-01-08 21:00,-6.7,,30,
98,동두천,2019-01-08 22:00,-7.1,,31,
98,동두천,2019-01-08 23:00,-7.2,,30,
98,동두천,2019-01-09 00:00,-7.4,,29,
98,동두천,2019-01-09 01:00,-8,,31,
98,동두천,2019-01-09 02:00,-8.1,,29,
98,동두천,2019-01-09 03:00,-9,,34,
98,동두천,2019-01-09 04:00,-10.1,,39,
98,동두천,2019-01-09 05:00,-10,,36,
98,동두천,2019-01-09 06:00,-10.7,,39,
98,동두천,2019-01-09 07:00,-11.3,,47,
98,동두천,2019-01-09 08:00,-11.9,,47,
98,동두천,2019-01-09 09:00,-9.7,,44,
98,동두천,2019-01-09 10:00,-7.4,,37,
98,동두천,2019-01-09 11:00,-5.5,,26,
98,동두천,2019-01-09 12:00,-3.9,,25,
98,동두천,2019-01-09 13:00,-3.1,,23,
98,동두천,2019-01-09 14:00,-1.6,,20,
98,동두천,2019-01-09 15:00,-.7,,17,
98,동두천,2019-01-09 16:00,-1,,19,
98,동두천,2019-01-09 17:00,-1.6,,20,
98,동두천,2019-01-09 18:00,-3.1,,23,
98,동두천,2019-01-09 19:00,-4.6,,30,
98,동두천,2019-01-09 20:00,-5.8,,33,
98,동두천,2019-01-09 21:00,-6.7,,35,
98,동두천,2019-01-09 22:00,-6.8,,35,
98,동두천,2019-01-09 23:00,-7.1,,38,
98,동두천,2019-01-10 00:00,-7,,39,
98,동두천,2019-01-10 01:00,-6.8,,41,
98,동두천,2019-01-10 02:00,-6.5,,41,
98,동두천,2019-01-10 03:00,-6.7,,42,
98,동두천,2019-01-10 04:00,-6.6,,44,
98,동두천,2019-01-10 05:00,-6.5,,41,
98,동두천,2019-01-10 06:00,-7.1,,46,
98,동두천,2019-01-10 07:00,-6.8,,46,
98,동두천,2019-01-10 08:00,-6.4,,47,
98,동두천,2019-01-10 09:00,-5.3,,41,
98,동두천,2019-01-10 10:00,-4,,33,
98,동두천,2019-01-10 11:00,-2.6,,30,
98,동두천,2019-01-10 12:00,.8,,22,
98,동두천,2019-01-10 13:00,1.1,,34,
98,동두천,2019-01-10 14:00,2.9,,41,
98,동두천,2019-01-10 15:00,3,,38,
98,동두천,2019-01-10 16:00,2.3,,40,
98,동두천,2019-01-10 17:00,1.5,,45,
98,동두천,2019-01-10 18:00,1,,50,
98,동두천,2019-01-10 19:00,.8,,52,
98,동두천,2019-01-10 20:00,.8,,59,
98,동두천,2019-01-10 21:00,.4,,61,
98,동두천,2019-01-10 22:00,.3,,65,
98,동두천,2019-01-10 23:00,-.1,,69,
98,동두천,2019-01-11 00:00,-.8,,72,
98,동두천,2019-01-11 01:00,-1.6,,73,
