지점,지점명,일시,기온(°C),강수량(mm),습도(%)
98,동두천,2020-06-01 00:00,16.2,.1,99
98,동두천,2020-06-01 01:00,16.6,0,98
98,동두천,2020-06-01 02:00,16.7,0,97
98,동두천,2020-06-01 03:00,16.6,,97
98,동두천,2020-06-01 04:00,16.3,,96
98,동두천,2020-06-01 05:00,16.1,.4,99
98,동두천,2020-06-01 06:00,15.9,.1,98
98,동두천,2020-06-01 07:00,16.7,,95
98,동두천,2020-06-01 08:00,17.5,,89
98,동두천,2020-06-01 09:00,19.3,,76
98,동두천,2020-06-01 10:00,21.3,,68
98,동두천,2020-06-01 11:00,22.5,,57
98,동두천,2020-06-01 12:00,22.9,,52
98,동두천,2020-06-01 13:00,24.2,,51
98,동두천,2020-06-01 14:00,24.4,,46
98,동두천,2020-06-01 15:00,24.7,,46
98,동두천,2020-06-01 16:00,23.9,,42
98,동두천,2020-06-01 17:00,23.6,,43
98,동두천,2020-06-01 18:00,22.7,,47
98,동두천,2020-06-01 19:00,21.3,,51
98,동두천,2020-06-01 20:00,19.2,,60
98,동두천,2020-06-01 21:00,18.3,,61
98,동두천,2020-06-01 22:00,16.8,,68
98,동두천,2020-06-01 23:00,16.6,,69
98,동두천,2020-06-02 00:00,15.2,,75
98,동두천,2020-06-02 01:00,14.8,,76
98,동두천,2020-06-02 02:00,14.3,,80
98,동두천,2020-06-02 03:00,14,,83
98,동두천,2020-06-02 04:00,14.1,,80
98,동두천,2020-06-02 05:00,13.6,,82
98,동두천,2020-06-02 06:00,13.4,,85
98,동두천,2020-06-02 07:00,14.3,,82
98,동두천,2020-06-02 08:00,14.6,,84
98,동두천,2020-06-02 09:00,15.4,0,84
98,동두천,2020-06-02 10:00,15.2,0,87
98,동두천,2020-06-02 11:00,13.6,2.1,95
98,동두천,2020-06-02 12:00,15.9,1,77
98,동두천,2020-06-02 13:00,20.3,,62
98,동두천,2020-06-02 14:00,20.9,,57
98,동두천,2020-06-02 15:00,20.2,,54
98,동두천,2020-06-02 16:00,20,,55
98,동두천,2020-06-02 17:00,19.1,,68
98,동두천,2020-06-02 18:00,18.2,0,75
98,동두천,2020-06-02 19:00,17.9,0,77
98,동두천,2020-06-02 20:00,17.6,,80
98,동두천,2020-06-02 21:00,17.8,,78
98,동두천,2020-06-02 22:00,17.9,0,78
98,동두천,2020-06-02 23:00,17.7,,85
98,동두천,2020-06-03 00:00,17.3,,87
98,동두천,2020-06-03 01:00,17.2,,89
98,동두천,2020-06-03 02:00,17.2,,90
98,동두천,2020-06-03 03:00,17.2,,91
98,동두천,2020-06-03 04:00,17.2,,92
98,동두천,2020-06-03 05:00,17,,93
98,동두천,2020-06-03 06:00,17.2,,93
98,동두천,2020-06-03 07:00,17.8,,91
98,동두천,2020-06-03 08:00,19.5,,84
98,동두천,2020-06-03 09:00,21.2,,73
98,동두천,2020-06-03 10:00,22.8,,74
98,동두천,2020-06-03 11:00,23.2,,61
98,동두천,2020-06-03 12:00,25.2,,60
98,동두천,2020-06-03 13:00,26.7,,56
98,동두천,2020-06-03 14:00,27.5,,53
98,동두천,2020-06-03 15:00,27.7,,52
98,동두천,2020-06-03 16:00,27.9,,50
98,동두천,2020-06-03 17:00,27.6,,57
98,동두천,2020-06-03 18:00,24.7,,69
98,동두천,2020-06-03 19:00,22.3,,79
98,동두천,2020-06-03 20:00,21.1,,85
98,동두천,2020-06-03 21:00,19.7,,90
98,동두천,2020-06-03 22:00,19.2,,90
98,동두천,2020-06-03 23:00,19.1,,90
98,동두천,2020-06-04 00:00,18.7,,92
98,동두천,2020-06-04 01:00,18.8,,90
98,동두천,2020-06-04 02:00,19.2,,88
98,동두천,2020-06-04 03:00,19.1,,90
98,동두천,2020-06-04 04:00,18.8,,92
98,동두천,2020-06-04 05:00,19.2,,92
98,동두천,2020-06-04 06:00,19.7,,93
98,동두천,2020-06-04 07:00,19.7,,93
98,동두천,2020-06-04 08:00,20.2,,94
98,동두천,2020-06-04 09:00,20.9,,90
98,동두천,2020-06-04 10:00,21.6,,91
98,동두천,2020-06-04 11:00,23.9,,78
98,동두천,2020-06-04 12:00,25.1,,69
98,동두천,2020-06-04 13:00,26.7,,66
98,동두천,2020-06-04 14:00,26.3,,69
98,동두천,2020-06-04 15:00,25.4,,71
98,동두천,2020-06-04 16:00,24,,75
98,동두천,2020-06-04 17:00,23,,77
98,동두천,2020-06-04 18:00,22,,84
98,동두천,2020-06-04 19:00,21.3,,88
98,동두천,2020-06-04 20:00,20.6,,92
98,동두천,2020-06-04 21:00,20.1,,93
98,동두천,2020-06-04 22:00,19.8,,94
98,동두천,2020-06-04 23:00,19.5,,95
98,동두천,2020-06-05 00:00,18.8,,96
98,동두천,2020-06-05 01:00,18.3,,97
98,동두천,2020-06-05 02:00,18.2,,97
98,동두천,2020-06-05 03:00,18.1,,97
98,동두천,2020-06-05 04:00,17.5,,97
98,동두천,2020-06-05 05:00,17.7,,97
98,동두천,2020-06-05 06:00,18,,96
98,동두천,2020-06-05 07:00,18.3,,95
98,동두천,2020-06-05 08:00,19.5,,92
98,동두천,2020-06-05 09:00,20.4,,83
98,동두천,2020-06-05 10:00,22.7,,72
98,동두천,2020-06-05 11:00,24,,66
98,동두천,2020-06-05 12:00,25.8,,65
98,동두천,2020-06-05 13:00,26.6,,45
98,동두천,2020-06-05 14:00,27.1,,39
98,동두천,2020-06-05 15:00,27.7,,49
98,동두천,2020-06-05 16:00,28.5,,41
98,동두천,2020-06-05 17:00,27.4,,49
98,동두천,2020-06-05 18:00,27.1,,45
98,동두천,2020-06-05 19:00,25.2,,56
98,동두천,2020-06-05 20:00,24,,61
98,동두천,2020-06-05 21:00,22.3,,76
